                        domain                         |       ip        
 *.sonyliv.com                                         | 52.74.218.185
 *.sonyliv.com                                         | 52.74.222.88
 *.sonyliv.com                                         | 52.74.165.143
 *.sonyliv.com                                         | 52.74.246.111
 *.sonyliv.com                                         | 52.74.141.17
 *.sonyliv.com                                         | 52.74.103.249
 *.sonyliv.com                                         | 52.74.108.196
 *.sonyliv.com                                         | 52.74.145.34
 *.sonyliv.com                                         | 52.74.168.169
 *.sonyliv.com                                         | 52.74.32.239
 www.sonymusic.co.jp                                   | 54.64.9.178
 event-fido2.sony-blockchain.net                       | 54.64.247.19
 *.sonyged.com                                         | 54.64.240.62
 www.sonymusic.co.jp                                   | 54.64.126.74
 www.sonymusic.co.jp                                   | 54.64.28.168
 *.sony.jp                                             | 54.64.218.153
 *.reach.sonymobile.biz                                | 54.65.73.185
 *.sonyliv.com                                         | 52.220.83.127
 *.ebookstore.sony.jp                                  | 54.64.6.157
 *.ebookstore.sony.jp                                  | 54.65.172.94
 *.ebookstore.sony.jp                                  | 54.65.63.26
 *.sonyged.com                                         | 54.65.236.63
 oauth-fido2.sony-blockchain.net                       | 54.64.13.59
 *.sony.com.cn                                         | 54.223.243.140
 *.sony.com.cn                                         | 54.223.139.230
 *.sony.com.cn                                         | 54.223.87.26
 *.sony.com.cn                                         | 54.223.195.243
 *.sony.com.cn                                         | 54.223.215.29
 *.sony.com.cn                                         | 54.223.69.194
 *.sony.com.cn                                         | 54.223.176.90
 mc4.mitene.pro.sony.com.cn                            | 54.223.186.189
 *.sony.com.cn                                         | 54.223.191.163
 *.sony.com.cn                                         | 54.223.233.73
 *.sony.com.cn                                         | 54.223.169.89
 *.hot.sonydna.com                                     | 46.51.244.66
 *.sony.com.cn                                         | 54.223.39.161
 *.sony.com.cn                                         | 54.223.238.253
 *.sony.com.cn                                         | 54.223.223.44
 *.sonyliv.com                                         | 54.179.183.21
 *.sonyliv.com                                         | 54.179.144.242
 *.sonyliv.com                                         | 54.179.182.64
 xperia-stage-elasticsearch.stage.swups.sonymobile.com | 54.171.251.124
 3cgui.staging.sony.eu                                 | 54.171.185.209
 *.sonyged.com                                         | 54.65.23.79
 www.sonymusic.co.jp                                   | 54.65.22.238
 www.sonymusic.co.jp                                   | 54.64.47.5
 *.sony.com.cn                                         | 54.223.248.117
 *.sony.com.cn                                         | 54.223.39.20
 *.sonyliv.com                                         | 54.179.159.148
 *.sony.com.cn                                         | 54.223.237.10
 *.sony.com.cn                                         | 54.223.21.140
 *.sony.com.cn                                         | 54.223.243.8
 *.sonyliv.com                                         | 54.179.179.6
 *.sony.com.cn                                         | 54.223.33.53
 *.sony.com.cn                                         | 54.223.130.254
 *.sony.com.cn                                         | 54.223.26.67
 *.sony.com.cn                                         | 54.223.138.226
 *.sony.com.cn                                         | 54.223.197.143
 *.social.sc.sonymobile.com                            | 54.171.2.219
 *.sonyliv.com                                         | 54.179.179.223
 mcm-saml.mc.spe.sony.com                              | 54.171.220.227
 *.dev.gaus.sonymobile.com                             | 54.171.44.19
 *.indevice.sonymobile.com                             | 54.171.243.187
 *.sonyliv.com                                         | 52.220.11.127
 *.sonyliv.com                                         | 52.220.81.46
 *.sonyliv.com                                         | 52.220.210.69
 *.sonyliv.com                                         | 52.220.142.114
 *.sonyliv.com                                         | 52.220.210.136
 *.sonyliv.com                                         | 52.220.9.188
 *.sonyliv.com                                         | 52.220.176.64
 *.sonyliv.com                                         | 52.220.95.1
 *.sonyliv.com                                         | 52.220.209.240
 *.sonyliv.com                                         | 52.220.115.228
 *.sonyliv.com                                         | 52.221.2.78
 *.sonyliv.com                                         | 52.221.2.155
 *.sonyliv.com                                         | 52.220.17.117
 *.sonyliv.com                                         | 52.220.110.117
 *.sonyliv.com                                         | 52.220.75.172
 *.sonyliv.com                                         | 52.221.30.5
 *.sonyliv.com                                         | 52.220.181.191
 *.sonyliv.com                                         | 52.220.115.18
 *.sonyliv.com                                         | 52.220.103.103
 *.sonyliv.com                                         | 52.221.36.172
 *.sonyliv.com                                         | 52.221.111.99
 *.sonyliv.com                                         | 52.220.103.79
 *.sonyliv.com                                         | 52.220.239.135
 ma.sonybank.net                                       | 52.221.113.40
 *.sonyliv.com                                         | 52.221.4.233
 *.sonyliv.com                                         | 52.221.82.165
 www.sonywondertechlab.com                             | 34.236.94.79
 *.sonyliv.com                                         | 52.221.12.217
 *.sonyliv.com                                         | 52.221.143.187
 *.sonyliv.com                                         | 52.221.147.77
 service.ap-newsis.sony-asia.com                       | 52.221.78.40
 *.sonyged.com                                         | 54.199.237.230
 *.sonybiotechnology.com                               | 52.204.244.49
 *.sonymaexpress.org                                   | 34.224.161.172
 *.swupd.sonymobile.com                                | 34.228.122.195
 pipeline.sonypicturesrunner.com                       | 34.230.167.198
 *.sonyliv.com                                         | 52.221.148.207
 *.sonyliv.com                                         | 52.221.128.156
 *.sonyged.com                                         | 54.199.219.254
 *.dev.sonyged.com                                     | 54.199.142.15
 *.swupd.sonymobile.com                                | 52.202.239.151
 nocinfosys.sony.com                                   | 34.231.40.81
 www.service.sony-latin.com                            | 34.235.228.6
 *.dev.sagent.sonymobile.com                           | 54.218.211.38
 *.prod.sonyentertainmentnetwork.com                   | 54.218.46.13
 *.gaus.sonymobile.com                                 | 99.81.92.36
 *.gaus.sonymobile.com                                 | 99.80.212.78
 *.dev.gaus.sonymobile.com                             | 99.81.53.58
 thehub.sie.sony.com                                   | 99.81.25.59
 www.sonyged.com.cn                                    | 52.81.13.223
 *.swupd.sonymobile.com                                | 99.81.1.208
 *.swupd.sonymobile.com                                | 99.81.106.88
 *.indevice.sonymobile.com                             | 99.81.133.15
 *.pen.stage.biv.sony.tv                               | 99.81.255.59
 *.dan.dev.biv.sony.tv                                 | 44.232.39.9
 *.nonprod.evedmp.sonynei.net                          | 54.244.50.19
 *.sagent.sonymobile.com                               | 54.244.154.18
 xperia-test-elasticsearch.test.swups.sonymobile.com   | 99.81.248.151
 pa01.sonyvfactory.com                                 | 99.81.236.10
 internet.sony.tv                                      | 44.225.237.194
 *.internet.sony.tv                                    | 44.227.29.226
 dev.sonyclassics.com                                  | 44.228.247.207
 stage-microsites.sonypictures.com                     | 44.229.158.245
 dev.sonyclassics.com                                  | 44.228.237.225
